1988-12-03,5.400,1.500
1988-12-04,5.500,0.400
1988-12-05,3.600,0.200
1988-12-06,4.100,0.300
1988-12-07,12.500,0.800
1988-12-08,14.100,0.400
1988-12-09,10.400,0.500
1988-12-10,9.100,0.500
1988-12-11,10.200,0.400
1988-12-12,7.500,0.400
1988-12-13,14.000,1.000
1988-12-14,13.700,0.600
1988-12-15,20.800,0.900
1988-12-16,17.200,0.200
1988-12-17,15.800,2.000
1988-12-18,8.100,0.500
1988-12-19,10.600,0.400
1988-12-20,19.600,0.500
1988-12-21,30.200,0.500
1988-12-22,40.500,0.600
1988-12-23,34.500,1.300
1988-12-24,27.300,2.100
1988-12-25,6.800,0.700
1988-12-26,24.700,5.200
1988-12-27,33.700,3.800
1988-12-28,35.200,1.900
1988-12-29,16.900,0.700
1988-12-30,18.800,0.600
1988-12-31,13.700,1.100
1989-01-01,22.700,2.800
1989-01-02,27.700,2.300
1989-01-03,37.200,2.300
1989-01-04,21.200,1.000
1989-01-05,17.300,0.900
1989-01-06,26.900,8.100
1989-01-07,20.000,4.300
1989-01-08,25.500,3.700
1989-01-09,15.100,0.600
1989-01-10,11.900,0.600
1989-01-11,22.500,1.900
1989-01-12,24.600,1.500
1989-01-13,13.500,0.500
1989-01-14,14.600,0.900
1989-01-15,11.100,1.000
1989-01-16,4.900,0.200
1989-01-17,7.300,0.300
1989-01-18,6.900,0.300
1989-01-19,9.000,0.500
1989-01-20,17.400,1.700
1989-01-21,7.100,0.500
1989-01-22,7.800,0.700
1989-01-23,5.500,0.500
1989-01-24,9.800,0.700
1989-01-25,17.900,2.900
1989-01-26,17.700,1.400
1989-01-27,8.600,0.400
1989-01-28,15.400,3.600
1989-01-29,12.900,0.800
1989-01-30,5.500,0.700
1989-01-31,6.500,0.600
1989-02-01,17.500,2.100
1989-02-02,25.900,2.100
1989-02-03,34.300,5.200
1989-02-04,24.600,6.400
1989-02-05,25.800,7.100
1989-02-06,17.900,6.100
1989-02-07,11.100,1.100
1989-02-08,13.000,0.800
1989-02-09,17.800,0.700
1989-02-10,11.900,0.300
1989-02-11,10.600,1.600
1989-02-12,11.900,0.600
1989-02-13,16.200,2.000
1989-02-14,12.200,0.400
1989-02-15,28.000,1.300
1989-02-16,17.000,0.400
1989-02-17,25.800,0.600
1989-02-18,22.900,5.200
1989-02-19,13.600,1.400
1989-02-20,23.200,1.800
1989-02-21,25.900,2.200
1989-02-22,16.300,0.200
1989-02-23,15.000,0.600
1989-02-24,12.600,4.100
