ATL,11,15,2065.85
ATL,11,16,2073.00
ATL,11,17,2061.08
ATL,11,18,2102.85
ATL,11,19,2052.46
ATL,11,20,2072.69
ATL,11,21,2093.85
ATL,11,22,1930.69
ATL,11,23,1900.69
ATL,11,24,1942.54
ATL,11,25,1954.08
ATL,11,26,1973.15
ATL,11,27,1953.62
ATL,11,28,1934.62
ATL,11,29,2002.69
ATL,11,30,2105.23
ATL,12,1,2057.08
ATL,12,2,2081.69
ATL,12,3,2037.31
ATL,12,4,2040.54
ATL,12,5,2050.85
ATL,12,6,2038.46
ATL,12,7,2028.54
ATL,12,8,2020.00
ATL,12,9,2062.92
ATL,12,10,2029.69
ATL,12,11,2035.15
ATL,12,12,2048.46
ATL,12,13,2038.00
ATL,12,14,2025.00
ATL,12,15,2008.69
ATL,12,16,2051.62
ATL,12,17,2014.46
ATL,12,18,2023.54
ATL,12,19,2050.31
ATL,12,20,2049.54
ATL,12,21,2054.62
ATL,12,22,2021.92
ATL,12,23,2019.31
ATL,12,24,1669.23
ATL,12,25,1546.38
ATL,12,26,2035.62
ATL,12,27,2051.08
ATL,12,28,2049.15
ATL,12,29,2007.54
ATL,12,30,2021.69
ATL,12,31,1703.08
ORD,1,1,1691.15
ORD,1,2,1856.69
ORD,1,3,1851.85
ORD,1,4,1851.23
ORD,1,5,1809.31
ORD,1,6,1808.15
ORD,1,7,1807.69
ORD,1,8,1802.31
ORD,1,9,1831.69
ORD,1,10,1807.85
ORD,1,11,1819.31
ORD,1,12,1777.54
ORD,1,13,1787.23
ORD,1,14,1794.31
ORD,1,15,1793.31
ORD,1,16,1830.08
ORD,1,17,1806.46
ORD,1,18,1817.31
ORD,1,19,1775.69
ORD,1,20,1781.31
ORD,1,21,1793.08
ORD,1,22,1793.31
ORD,1,23,1831.23
ORD,1,24,1805.77
ORD,1,25,1818.15
ORD,1,26,1775.08
ORD,1,27,1786.31
ORD,1,28,1794.85
ORD,1,29,1795.08
ORD,1,30,1831.23
ORD,1,31,1806.85
ORD,2,1,1825.69
ORD,2,2,1777.00
ORD,2,3,1796.00
ORD,2,4,1801.31
ORD,2,5,1798.92
ORD,2,6,1836.92
ORD,2,7,1814.15
ORD,2,8,1826.85
ORD,2,9,1779.08
ORD,2,10,1800.54
ORD,2,11,1811.31
ORD,2,12,1811.92
ORD,2,13,1856.00
ORD,2,14,1839.46
ORD,2,15,1852.15
ORD,2,16,1818.62
ORD,2,17,1839.62
ORD,2,18,1841.77
ORD,2,19,1840.15
ORD,2,20,1878.46
